id,mapudungun,raiz,gramatica,castellano,ejemplo,imagen,source
01270715290826240109,awiñ kütral,awiñ kütral,sustantivo,rescoldo,,,Augusta 1903
01270801,awka,awka,adjetivo,salvaje,,,Augusta 1903
01270801,awka,awka,sustantivo,yegua,,,Augusta 1903
0127080109352613,awkalün,awkal–ün,verbo,amotinar,,,Augusta 1903
0127080113,awkan,awkan,adjetivo,rebelde,,,Augusta 1903
0127080113,awkan,awkan,sustantivo,"rebelión, guerra",,,Augusta 1903
012708011322253513,awkantun,awkantu–n,verbo,jugar,<dl><dt>Fey kisu awkantulekey tañi umawtunoam.</dt><dd>El siempre juega para no quedarse dormido. [CWM:17]</dd></dl>,,FFD 2022
012708013513,awkan,awka–n,verbo,rebelarse,,,Augusta 1903
01271301,awna,awna,sustantivo,ola,,,Augusta 1903
01272606352613,awügün,awüg–ün,verbo,"tratar muy mal, afligir mucho",,,Augusta 1903
01280408013513,ayekan,ayeka–n,verbo,"divertirse, bromear",,,FFD 2022
01280409043513,ayelen,ayele–n,verbo,sonreír,,,FFD 2022
01280418260904,ayepüle,ayepüle,adverbio,hacia allá,,,Augusta 1903
01280422253513,ayetun,ayetu–n,verbo,"burlarse, reírse de alguno",,,Augusta 1903
0128043513,ayen,aye–n,verbo,reir,,,FFD 2022
0128050715352613,ayfiñün,ayfiñ–ün,verbo,adornar,,,Augusta 1903
0128090901,aylla,aylla,sustantivo,nueve,"<dl><dt>Tüfachi Aylla Trokiñ Mapu chew taiñ mülemum iñchiñ, fey rume küme admapungey, itrofill mew ayüfali. </dt><dd>Esta tierra, la Novena Región donde vivimos nosotros, es muy bonita y tiene mucha importancia. [FED1:3]</dd></dl>",,FFD 2022
0128100413,ayl’en,ayl'en,sustantivo,brasas,,,Augusta 1903
012826050109,ayüfal,ayüfal,adjetivo,agradable,"<dl><dt> müṉa ayüfal kümeke üy nierkey engün ka iñche kafey kom taiñ pu mapuchengen, pi.</dt><dd>Todos nosotros los mapuches tenemos buenos nombres, dice. [FED1:20]</dd></dl>",,FFD 2022
012826092612352613,ayülümün,ayülüm–ün,verbo,"estar enamorado, enamorada",,,Augusta 1903
01282613,ayün,ayün,sustantivo,amor,,,Augusta 1903
01282627082609043513,ayiwkülen,ayüwküle–n,verbo,estar contento,,,FFD 2022
01282627352613,ayüwün,ayüw–ün,verbo,alegrarse,,,FFD 2022
0128263513,ayün,ayü–n,verbo,"gustar, amar",,,FFD 2022
0128270715,aywiñ,aywiñ,sustantivo,imagen producida por la sombra o en el espejo; sombra; reflejo,,,Augusta 1903
02010307,chadi,chadi,sustantivo,sal,,,Augusta 1903
02010512013513,chafman,chafma–n,verbo,encontrar por suerte,,,Augusta 1903
02010517,chafo,chafo,sustantivo,tos,,,Augusta 1903
0201051703263513,chafodün,chafodü–n,verbo,"romperse, hacerse pedazos",,,Augusta 1903
020105173513,chafon,chafo–n,verbo,toser,,,Augusta 1903
020105263513,chafün,chafü–n,verbo,"estrecharse, obstruirse",,,Augusta 1903
020105352613,chafün,chaf–ün,verbo,"cortar, pelar, quitar la cáscara",,,FFD 2022
020106,chag,chag,adverbio,igualmente,,,Augusta 1903
02010604092225,chageltu,chageltu,expresión,gracias,,,Augusta 1903
0201060409352613,chagelün,chagel–ün,verbo,"poner en mano, entregar",,,Augusta 1903
02010622253513,chagtun,chagtu–n,verbo,"insultar, contestar de mala manera, contradecir",,,FFD 2022
0201062612020106261222253513,chagümchagümtun,chagümchagümtu–n,verbo,comparar algo,,,Augusta 1903
0201062612352613,chagümün,chagüm–ün,verbo,igualar,,,Augusta 1903
02010907041322253513,chalientun,chalientu–n,verbo,despedirse,,,FFD 2022
0201090713222608253513,chalintükun,chalintüku–n,verbo,entregar,,,Augusta 1903
0201090722253513,chalitun,chalitu–n,verbo,despedirse,,,FFD 2022
02010907272603013513,chaliwüdan,chaliwüda–n,verbo,despedir con saludo,,,Augusta 1903
0201090727352613,chaliwün,chaliw–ün,verbo,saludarse,,,FFD 2022
020109073513,chalin,chali–n,verbo,saludar,,,FFD 2022
0201090901,challa,challa,sustantivo,olla,,,FFD 2022
020109091705352613,challofün,challof–ün,verbo,machucar,,,FFD 2022
020109092701,challwa,challwa,sustantivo,"pez, pescado",,,Augusta 1903
02010909270122253513,challwatun,challwatu–n,verbo,pescar,,,Augusta 1903
0201090927013513,challwan,challwa–n,verbo,pescar,,,FFD 2022
0201092225,chaltu,chaltu,expresión,gracias,,,Augusta 1903
020109222529120128!,chaltu may!,chaltu may!,expresión,gracias,,,FFD 2022
020112010909,chamall,chamall,sustantivo,vestido,,,Augusta 1903
0201150109043513,chañalen,chañale–n,verbo,"ser patente, manifiesto",,,Augusta 1903
020115020115,chañchañ,chañchañ,adjetivo,empapado de agua,,,Augusta 1903
02011525,chañu,chañu,sustantivo,sudaderos,,,Augusta 1903
020115251322260825,chañuntüku,chañuntüku,sustantivo,tejido con flecos que se coloca sobre la silla,,,Augusta 1903
